Action,Source,Destination,ID,Statut
MOVE,Statuts-AG/Statuts_Monique_Festival_19-04-2026_Signé.pdf,0_Gouvernance/Statuts/2026_Monique_Festival_revises,1uZolOAvwY_CYPStaJyj_JzcjRtb6AjSc,OK
MOVE,Statuts-AG/Reglement_Interieur 19-04-2026_ Signé.pdf,0_Gouvernance/Reglement_interieur,1bfyi_0DIDm1pkZk4DAcP0w4mxy9y6oOb,OK
MOVE,Statuts-AG/PV_Bureau_post_AGE19-04-2026_ Signé.pdf,0_Gouvernance/AG_et_Bureau/2026-04-19_AGE_revision,1a0LVBH0_MwDR2HXGl55hoQBcRKFqTaCU,OK
MOVE,Statuts-AG/PV_AGE_adoption_statuts 19-04-2026 - Signé.pdf,0_Gouvernance/AG_et_Bureau/2026-04-19_AGE_revision,1x9dG0vkADAFFLOVxMXqdrStogzD-I2oT,OK
MOVE,Statuts-AG/Feuille de Présence 19-04-2026 - Signé.pdf,0_Gouvernance/AG_et_Bureau/2026-04-19_AGE_revision,1yJscAHchJEIk0nThH0mBXgfAi7JwADAu,OK
MOVE,archive/Statuts_Monique_Festival-signé.docx,9_Archives_obsoletes/2026_brouillons,1O7V5fTHB6bkWv6pDU2KV0MPCAvHi8-YU,OK
MOVE,archive/Reglement_Interieur_Signé.docx,9_Archives_obsoletes/2026_brouillons,10p-WjResM45jOUN_iR6b3p77Y24Qd1Y3,OK
MOVE,archive/PV_AGE_adoption_statuts-signé.docx,9_Archives_obsoletes/2026_brouillons,1ueMMT99FYYD6HLIfDZ1RXqabUKJfFjlH,OK
MOVE,archive/Feuille_presence_AGE_signé.docx,9_Archives_obsoletes/2026_brouillons,1Hj0v1BMpT5MwsWm2rzrXCSx_9qBMo0oU,OK
MOVE,Adm2026/Obligations administratives festival.docx,1_Admin_legale/Obligations,1vGAt-zsHlbL7d30HjKG8lqHtHdHyA3JB,OK
WARN,Adm2026/Charte éthique.pdf,(non mappe),1PwyBHysfh-wwmxrILoNhZbeARr4sIawB,SKIP
